faqs_0,faqs_1,faqs_2,faqs_3,faqs_4,faqs_5,faqs_6,faqs_7,faqs_8,faqs_9,faqs_10,faqs_11,faqs_12,faqs_13,faqs_14
"{'0': 'Q. How to use Andre I-Kul Eye Drop?', '1': 'Wash your hands before using Andre I-Kul Eye Drop to avoid contamination and do not touch the tip of the dropper. If you wear contact lenses, remove them before using Andre I-Kul Eye Drop. For using Andre I-Kul Eye Drop tilt your head back, look up, and pull down the lower eyelid to make a pouch and then put Andre I-Kul Eye Drop.'}","{'0': 'Q. Can the use of Andre I-Kul Eye Drop cause blurry vision?', '1': 'Andre I-Kul Eye Drop can blur your eyes for a short period of time. Avoid driving or operating machinery just after using Andre I-Kul Eye Drop.'}","{'0': 'Q. What are the instructions for the storage and disposal of Andre I-Kul Eye Drop?', '1': 'Keep this medicine in the packet or the container it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,,,,,,,,
"{'0': 'Q. Is Atonide Gel safe for babies?', '1': 'No, Atonide Gel is not safe in babies. It is a corticosteroid and is not approved to be used in children less than 3 months of age. In babies, the absorption of Atonide Gel is greater as compared to adults which might lead to systemic absorption (absorbed throughout the body) and effects like Adrenal (glands producing steroids) suppression, symptoms of Cushing’s syndrome, high blood sugar, facial swelling, glycosuria (excretion of glucose in urine), withdrawal (weakness, fatigue, decreased appetite, weight loss, nausea, vomiting, diarrhea, abdominal pain), and growth retardation in children.'}","{'0': 'Q. Does Atonide Gel cause skin irritation?', '1': 'Yes, Atonide Gel can cause skin irritation. Though the chances are rare, the irritation can be due to the hypersensitivity of the person towards the medication or any added excipient of the drug. Allergy to corticosteroids may generally appear as inability of the wounds to heal. If symptoms like these appear, then consult your doctor immediately after discontinuing the medicine. The doctor will start an appropriate therapy accordingly.'}","{'0': 'Q. What is Atonide Gel used for?', '1': 'It is a steroid which is used on the skin to treat mild or moderate atopic dermatitis in patients aged 3 months or more. It suppresses your immunity and associated inflammation, thereby relieving inflammatory conditions. Long-term usage should be avoided and do consult your physician before the start of therapy or in case of any skin reaction. Also, you must consult your physician in case your symptoms do not improve with the medication.'}","{'0': 'Q. Is Atonide Gel available over the counter drug?', '1': 'No, it is not an over the counter drug. Therefore, you cannot buy this medicine without a prescription. It is a corticosteroid and it suppresses your immunity and also has numerous metabolic side effects hence is not recommended for a long period. Moreover, you should take this medicine only if prescribed by your doctor.'}","{'0': 'Q. Can Atonide Gel be used for face?', '1': 'Yes, Atonide Gel can be applied on the face but with certain precautions. Do not directly apply it on the face. If it is in foam form, dispense it on your hands first and gently massage over the affected areas of the face. It is for external use only. Avoid contact with your eyes or other mucous membranes. Wash your hands after use. Use this medicine exactly as advised by the doctor. Do consult your physician before the start of therapy.'}",,,,,,,,,,
"{'0': 'Q. When should I take Afogatran 150 Capsule?', '1': 'Mostly, Afogatran 150 Capsule is suggested to be taken twice daily at the same time each day. The two doses should be taken at a gap of about 12 hours. If you miss a dose of  Afogatran 150 Capsule then take it as soon as possible up to 6 hours before the next scheduled dose. However, skip the missed dose if your next dose is less than 6 hours away. Never take two doses of Afogatran 150 Capsule at the same time. '}","{'0': 'Q. Can I drink alcohol with Afogatran 150 Capsule?', '1': 'Taking alcohol while taking Afogatran 150 Capsule can increase the effect of this medicine, thereby increasing the chance of bleeding. Regular intake of alcohol can lead to a gastric ulcer which might again cause bleeding. So, it is better to avoid alcohol while you are taking this medicine. Do consult your doctor if any such episode of bleeding occurs.'}","{'0': 'Q. Can Afogatran 150 Capsule cause hair loss?', '1': 'As compared to other blood-thinning medications,  Afogatran 150 Capsule does not usually cause hair loss. However, there do exist some rare reports of hair loss associated with Afogatran 150 Capsule. Consult your doctor if you face hair loss while taking Afogatran 150 Capsule to rule out any other causes of hair loss.'}","{'0': 'Q. When will I feel better after taking Afogatran 150 Capsule?', '1': 'Afogatran 150 Capsule reduces your risk of developing blood clots in the blood vessels of your leg, lungs, heart and brain. You may not feel any difference after taking Afogatran 150 Capsule. However, keep taking this medicine as prescribed by your doctor because you will still be getting its full benefits.'}","{'0': 'Q. Does Afogatran 150 Capsule affect the liver?', '1': 'Unlike other anticoagulants, Afogatran 150 Capsule usually does not affect the functioning of the liver. But long-term use of Afogatran 150 Capsule may increase the chances of mild liver injury in patients with elevated liver enzymes. However, the overall chances of developing any such problem are lower than other anticoagulants. It is advised that you inform your doctor if you have a history of liver disease before starting this medicine.'}","{'0': 'Q. How should I store Afogatran 150 Capsule?', '1': 'Afogatran 150 Capsule should be stored at room temperature between 59°F to 86°F (15°C to 30°C). Store the medicine at a dry place and protect the capsules from moisture. Close the bottle tightly after use and keep it out of the reach of children. Once the bottle is opened, it should be used within 4 months. If unused within 4 months, please discard them safely.'}","{'0': 'Q. Can the use of Afogatran 150 Capsule increase the risk of bleeding?', '1': 'Yes, Afogatran 150 Capsule increases the risk of bleeding. Always be careful while doing activities that may cause an injury or bleeding. Tell your doctor immediately if you notice any abnormal bruising or bleeding.'}","{'0': 'Q. Who should not take Afogatran 150 Capsule?', '1': 'People experiencing any unusual bleeding or people allergic to Afogatran 150 Capsule should not take it. Afogatran 150 Capsule should also be avoided by people with artificial (prosthetic) heart valves. Therefore, inform your doctor if you have ever had or plan to have a valve in your heart replaced. The use of this medicine is not recommended in patients with severe kidney disease.'}",,,,,,,
"{'0': 'Q. What is Actapro Tablet used for?', '1': 'Actapro Tablet is used in the treatment of functional dyspepsia. It helps to relieve the symptoms like bloating after a meal, pain/discomfort in the upper abdomen and early satiety (feeling of fullness in a short span of time after having only little food).'}","{'0': 'Q. When should I take Actapro Tablet?', '1': 'Actapro Tablet should be taken before meals. Always complete the prescribed course of treatment as advised by your doctor even if you start to feel better.'}","{'0': 'Q. Is Actapro Tablet effective?', '1': 'Actapro Tablet is effective if used in the dose and duration advised by your doctor. Do not stop taking it even if you see improvement in your condition. If you stop using Actapro Tablet too early, the symptoms may return or worsen.'}","{'0': 'Q. Can I stop taking Actapro Tablet when I feel better?', '1': 'No, do not stop taking Actapro Tablet without consulting your doctor even if you are feeling better. Your symptoms may improve before the condition is completely cured. Therefore, for better and complete treatment, it is advised to continue your treatment for the prescribed duration.'}","{'0': 'Q. Is Actapro Tablet safe?', '1': ""Actapro Tablet is safe if used in the dose and duration advised by your doctor. Take it exactly as directed and do not skip any dose. Follow your doctor's instructions carefully and let your doctor know if any of the side effects bother you.""}","{'0': 'Q. Can dyspepsia be cured?', '1': 'No, functional dyspepsia cannot be cured completely. But, the symptoms of functional dyspepsia such as bloating after a meal, pain/discomfort in the upper abdomen and early satiety (feeling of fullness in a short span of time after having only little food), can be effectively managed with medicines as well as a few lifestyle changes. Practise yoga or meditation or take up a hobby. Ensure that you have a sound sleep every night as this also reduces your stress and hence helps in keeping your symptoms well-controlled. Try to eat smaller, frequent meals and avoid eating late at night. There should be a gap of at least 3 to 4 hours between dinner and going to bed at night. Take more fiber-rich foods such as fresh fruits, vegetables and avoid spicy or oily foods. Reducing weight can also help if you are obese. These simple life-hacks can help you manage your condition a lot.'}",,,,,,,,,
"{'0': 'Q. Is Arip MT 5 Tablet a mood stabilizer?', '1': 'Arip MT 5 Tablet is effective in treating manic episodes and other mood symptoms of bipolar disorder but not for the depressive episodes. Therefore, it can be combined with mood stabilizers like valproate to treat bipolar disorders.'}","{'0': 'Q. How long does Arip MT 5 Tablet take to work?', '1': 'The benefit of Arip MT 5 Tablet may appear after a few days or few weeks of starting Arip MT 5 Tablet. It may take 4-6 weeks to see the full benefits of this medicine.'}","{'0': 'Q. Does Arip MT 5 Tablet affect you sexually?', '1': 'Yes, Arip MT 5 Tablet may cause prolonged and painful erection (priapism) in some patients. It may also cause impulse control disorder wherein the patient may develop urges or cravings that are irresistible and unusual for that person. In this case, the patient may develop an abnormally high sex drive or may experience an increase in sexual thoughts or feelings. Consult your doctor who may modify your dose or may advise to stop Arip MT 5 Tablet.'}","{'0': 'Q. What is the most important thing that I should know about Arip MT 5 Tablet?', '1': 'Arip MT 5 Tablet is not approved in elderly patients with dementia as it may increase the risk of causing death. Dementia is a brain disorder that affects the ability to remember, think clearly, communicate, and perform daily activities. This may further cause changes in mood and personality. Furthermore, patients with depression should be closely monitored when being given Arip MT 5 Tablet, as they can develop suicidal tendencies.'}","{'0': 'Q. What should I avoid while using Arip MT 5 Tablet?', '1': 'Arip MT 5 Tablet may commonly cause sleepiness, sedation, dizziness, blurred vision, and double vision. Avoid driving and using heavy machinery if you experience these symptoms. You should also avoid over-exercise, over-exposure to heat or getting dehydrated by avoiding direct sunlight. It is recommended to stay indoors in hot weather, and drink plenty of water to avoid dehydration.'}","{'0': 'Q. Can Arip MT 5 Tablet be taken by diabetics?', '1': 'Arip MT 5 Tablet may cause an increase in blood sugar levels. Extremely high levels of blood sugar may cause coma and death. Therefore, if you have diabetes, you should stay alert and check your blood sugar levels regularly.'}","{'0': 'Q. Does Arip MT 5 Tablet cause weight gain?', '1': 'Arip MT 5 Tablet may cause weight gain in some patients. This medicine may also increase the cholesterol and fat levels in the blood. If you gain weight during treatment with Arip MT 5 Tablet, consult your doctor for diet and exercise advice.'}",,,,,,,,
"{'0': 'Q. What is Acemiz -MR Tablet?', '1': 'Acemiz -MR Tablet is a combination of three medicines: Aceclofenac, Paracetamol and Chlorzoxazone. This medicine helps in relieving muscle pain by relaxing the affected muscles. It relieves pain caused due to muscle spasm, cramp or injury. It also lowers certain chemical substances in the body that cause pain.'}","{'0': 'Q. What can I do along with Acemiz -MR Tablet to reduce muscle pain?', '1': 'If you are suffering from muscle pain due to muscle injury or overuse, you should take rest. Taking rest will help you avoid any further injury and help you recover efficiently. Make sure that you take plenty of sleep and try to reduce stress. Applying ice pack to the affected area may help in relieving pain and inflammation. If your muscle pain is due to some other disease, follow the advice of your doctor.'}","{'0': 'Q. Can I get addicted to Acemiz -MR Tablet?', '1': 'No, there are no reports of any patient getting addicted to Acemiz -MR Tablet.'}","{'0': 'Q. Can I stop taking Acemiz -MR Tablet when my pain is relieved?', '1': 'Acemiz -MR Tablet is usually used for short term and can be discontinued when your pain is relieved. However, Acemiz -MR Tablet should be continued if you are advised by your doctor to do so.'}","{'0': 'Q. Can the use of Acemiz -MR Tablet cause dizziness?', '1': 'Yes, the use of Acemiz -MR Tablet can cause dizziness (feeling faint, weak, unsteady or lightheaded) in some patients. If you feel dizzy or lightheaded, it is better to rest for some time and resume once you feel better.'}","{'0': 'Q. Can the use of Acemiz -MR Tablet cause damage to liver?', '1': 'Acemiz -MR Tablet contains Paracetamol and Chlorzoxazone, both these medicines are known to cause harm to the liver especially when taken in doses above the recommended level. Also, avoid drinking alcohol while taking this medicine, as it may further increase your risk of liver damage. Use of this medicine should preferably be avoided in patients with underlying liver disease. Contact your doctor immediately if you notice any early signs and symptoms of liver damage. These symptoms may include fever, rash, loss of appetite, nausea, vomiting, fatigue, stomach pain, dark urine, yellow skin or eyes and abnormal live enzymes.'}","{'0': 'Q. How long will Acemiz -MR Tablet take to act?', '1': 'It may take about an hour to notice the initial benefits of pain relief after taking Acemiz -MR Tablet.'}","{'0': 'Q. What if I forget to take Acemiz -MR Tablet?', '1': 'If you forget to take the scheduled dose of Acemiz -MR Tablet and it is almost time for your next dose, skip the dose you missed and take your next dose at the scheduled time. Otherwise, take it as soon as you remember, and then go back to taking your medicine as you would normally. Do not take a double dose to make up for the dose you missed because this may increase the risk of unwanted side effect due to overdosage. If you are not sure what to do, consult your doctor about how to manage a situation like this.'}","{'0': 'Q. Will Acemiz -MR Tablet be more effective if taken in higher than recommended doses?', '1': 'No, taking a higher than the recommended dose may not be more effective, rather it may increase the chances of having some serious side effects and toxicity. If you experience increased severity of your symptoms that are not relieved by the recommended doses, please consult your doctor for re-evaluation.'}","{'0': 'Q. Are there any specific contraindications associated with the use of Acemiz -MR Tablet?', '1': 'The use of Acemiz -MR Tablet is considered to be harmful in patients with known allergy to any of the components or excipients of this medicine. The use of this medicine should preferably be avoided in patients with a history of stomach ulcers or active, recurrent stomach ulcer / bleeding. It should also be avoided in patients with a history of heart failure, high blood pressure, and liver or kidney disease.'}","{'0': 'Q. Does Acemiz -MR Tablet expire?', '1': 'Yes, Acemiz -MR Tablet does expire. Please check the expiry date written on the pack of this medicine. Do not use Acemiz -MR Tablet after the expiry date.'}",,,,
"{'0': 'Q. Is Amphotin Lip 50mg Injection fungistatic or fungicidal?', '1': 'Amphotin Lip 50mg Injection is fungicidal in nature, it acts by killing the fungus'}","{'0': 'Q. Is Amphotin Lip 50mg Injection light sensitive?', '1': 'Amphotin Lip 50mg Injection is not light sensitive'}","{'0': 'Q. What is Amphotin Lip 50mg Injection liposomal?', '1': 'Liposomal Amphotin Lip 50mg Injection is a lipid-associated formulation. Liposomal encapsulation or incorporation into a lipid complex of Amphotin Lip 50mg Injection can substantially improves drug safety especially nephrotoxicity associated with the drug'}","{'0': 'Q. Is Amphotin Lip 50mg Injection an antibiotic?', '1': 'Yes, Amphotin Lip 50mg Injection is an antifungal antibiotic for the treatment of serious infections caused by fungi like fungal infections of one or more deep organs of the body, suspected fungal infections in patients with a raised temperature and neutropenia (reduced number of white blood cells [neutrophils]) and Visceral leishmaniasis (disease caused by a parasite)'}","{'0': 'Q. Is Amphotin Lip 50mg Injection testing dose needed?', '1': 'Yes, administration of Amphotin Lip 50mg Injection is associated with allergy (severe and serious allergic) reaction, therefore it is recommended to administer a test dose before starting the therapy to check for sensitivity'}","{'0': 'Q. How is Amphotin Lip 50mg Injection administered?', '1': 'Amphotin Lip 50mg Injection is either administered as intravenous injection or infusion by a registered medical professional only'}","{'0': 'Q. How does Amphotin Lip 50mg Injection cause nephrotoxicity and hyperkalemia?', '1': 'Amphotin Lip 50mg Injection can disrupt the lipid components of human kidney cells, thereby causing nephrotoxicity. The exact mechanism of hypokalemia is not known, but kidney damage may result in excessive loss of potassium in urine.'}",,,,,,,,
"{'0': 'Q. Is it safe to use Afoglip M  1000 Tablet ER?', '1': 'Yes, it is safe to use Afoglip M  1000 Tablet ER if you take it for the prescribed duration and according to the dosage advised by the doctor. However, despite taking the prescribed dosage you might experience common side effects like nausea, diarrhea, vomiting, stomach upset, headache, nasal congestion, sore throat, respiratory tract infection and hypoglycemia (low blood sugar level). Hypoglycemia is relatively common in patients who are taking Afoglip M  1000 Tablet ER in combination with insulin or Sulfonylurea. Inform your doctor if you experience any persistent problem while taking this medicine.'}","{'0': 'Q. Can the use of Afoglip M  1000 Tablet ER lead to hypoglycemia?', '1': 'The use of Afoglip M  1000 Tablet ER does not usually cause hypoglycemia (low blood sugar level) on its own. But, it could occur if there is insufficient supplementation of calories while taking this medicine. Symptoms of hypoglycemia include nausea, headache, irritability, hunger, sweating, dizziness, fast heart rate, and feeling anxious or shaky. The symptoms are more likely to be noticed if you miss or delay your food, drink alcohol, over-exercise or take any other antidiabetic medicine along with it. Hence, regular monitoring of blood sugar level is important. It is recommended to always carry glucose tablets, honey or fruit juice with you.'}","{'0': 'Q. Can the use of Afoglip M  1000 Tablet ER cause nausea and vomiting?', '1': 'Yes, the use of Afoglip M  1000 Tablet ER can cause nausea and vomiting. In case of vomiting, drink plenty of water or other fluids by taking small frequent sips. Talk to your doctor if vomiting persists and you notice signs of dehydration, like dark colored and strong-smelling urine and a low frequency of urination. Do not take any other medicine without consulting a doctor.'}","{'0': 'Q. Are there any specific contraindications associated with the use of Afoglip M  1000 Tablet ER?', '1': 'The use of Afoglip M  1000 Tablet ER should be avoided in patients with known allergy to any of the components or excipients of this medicine. The use of this medicine is also considered to be harmful for patients with severe kidney impairment, liver impairment, congestive heart failure, lactic acidosis or diabetic ketoacidosis.'}","{'0': 'Q. Can the use of Afoglip M  1000 Tablet ER cause lactic acidosis?', '1': 'Yes, the use of Afoglip M  1000 Tablet ER can lead to lactic acidosis which is also known as MALA (Metformin-associated lactic acidosis). It is caused by increased levels of lactic acid in the blood. It is a very rare side effect associated with the use of metformin and therefore it is avoided in patients with underlying kidney disease, old age patients or who take large amounts of alcohol. Symptoms of lactic acidosis may include muscle pain or weakness, dizziness, tiredness, feeling of cold in arms and legs, difficulty in breathing, nausea, vomiting, stomach pain or slow heart rate. If you have these symptoms, stop taking Afoglip M  1000 Tablet ER and immediately consult your doctor.'}","{'0': 'Q. Can the use of Afoglip M  1000 Tablet ER lead to Vitamin B12 deficiency?', '1': 'Yes, the use of Afoglip M  1000 Tablet ER can cause Vitamin B12 deficiency on long-term use. It interferes with the absorption of Vitamin B12 in the stomach. Deficiency of B12 may cause anemia and nerve problems. These may further cause a tingling sensation and numbness in hands and feet, weakness, urinary problems, change in mental status and difficulty in maintaining balance (ataxia). Consult your doctor if you experience these symptoms. Your doctor may advise monitoring of B12 levels and prescribe a vitamin B12 supplement if required.'}","{'0': 'Q. What is the storage condition for the Afoglip M  1000 Tablet ER?', '1': 'Keep this medicine in the container or the pack it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,,,,
"{'0': 'Q. Will Acnicort Gel be more effective if I overuse it?', '1': 'No, do not overuse Acnicort Gel. It can cause over-absorption of the medicine into the body and cause severe diarrhea. If you are experiencing increased severity of your symptoms, please consult your doctor for re-evaluation.'}","{'0': 'Q. What are the recommended instructions for the storage and disposal of Acnicort Gel?', '1': 'Keep this medicine in the container or the pack it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}","{'0': 'Q. Can I use Acnicort Gel as a spot treatment (for single pimple)?', '1': 'It is not a spot treatment and should not be used to treat a single pimple. Acnicort Gel should be applied to the entire face. Using it once everyday can help treat your acne.'}","{'0': 'Q. How long does Acnicort Gel take to work?', '1': 'It may take up to 2-3 weeks before your symptoms improve. Acnicort Gel may take some time to deliver significant results. Use the medicine as directed and let your doctor know if your symptoms do not improve or get worse.'}",,,,,,,,,,,
"{'0': 'Q. What are the recommended storage conditions for Apriglim-M 2 Tablet PR?', '1': 'Keep this medicine in the container or the pack it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children, and other people.'}","{'0': 'Q. Can the use of Apriglim-M 2 Tablet PR lead to lactic acidosis?', '1': 'Yes, the use of Apriglim-M 2 Tablet PR can lead to lactic acidosis. It is a medical emergency that is caused by increased levels of lactic acid in the blood. It is also known as MALA (Metformin-associated lactic acidosis). It is a rare side effect associated with the use of metformin and therefore, it is considered to be harmful to patients with underlying kidney disease, old age patients, or who take large amounts of alcohol. Symptoms of lactic acidosis may include muscle pain or weakness, dizziness, tiredness, feeling of cold in arms and legs, difficulty in breathing, nausea, vomiting, stomach pain, or slow heart rate. If you have these symptoms, stop taking Apriglim-M 2 Tablet PR and consult your doctor immediately.'}","{'0': 'Q. What is Apriglim-M 2 Tablet PR?', '1': 'Apriglim-M 2 Tablet PR is a combination of two medicines: Glimepiride and Metformin. This medicine is used in the treatment of type 2 diabetes mellitus (DM). It improves blood glucose levels in adults when taken along with proper diet and regular exercise. Glimepiride lowers blood glucose levels by increasing the release of insulin from the pancreas. Metformin works by lowering the glucose production in the liver and improving insulin sensitivity. This combination is not indicated for the treatment of type 1 DM.'}","{'0': 'Q. What are the possible side effects of Apriglim-M 2 Tablet PR?', '1': 'The use of Apriglim-M 2 Tablet PR is associated with common side effects like hypoglycemia (low blood sugar level), altered taste, nausea, stomach pain, diarrhea, headache, and upper respiratory tract infection. Its use can also lead to serious but rare side effects like lactic acidosis. In long-term use, it can also lead to Vitamin B12 deficiency.'}","{'0': 'Q. Can the use of Apriglim-M 2 Tablet PR lead to Vitamin B12 deficiency?', '1': 'Yes, the use of Apriglim-M 2 Tablet PR can cause Vitamin B12 deficiency with long-term use. It interferes with the absorption of Vitamin B12 in the stomach. If untreated, it may cause anemia and nerve problems and the patient can experience tingling sensation and numbness in hands and feet, weakness, urinary problems, change in mental status, and difficulty in maintaining balance (ataxia). To avoid such problems, some researchers suggest an intake of Vitamin B12 from outside sources at least once every year.'}","{'0': 'Q. Can the use of Apriglim-M 2 Tablet PR cause hypoglycemia?', '1': 'Yes, the use of Apriglim-M 2 Tablet PR can cause hypoglycemia (low blood sugar level). Symptoms of hypoglycemia include nausea, headache, irritability, hunger, sweating, dizziness, fast heart rate, and feeling anxious or shaky. It happens more often if you miss or delay your food, drink alcohol, over-exercise, or take other antidiabetic medicine along with it. So, regular monitoring of the blood sugar level is important. Always keep a quick source of sugar like glucose tablets, honey, or fruit juice with you.'}","{'0': 'Q. Is it safe to take alcohol while I am also taking Apriglim-M 2 Tablet PR?', '1': 'No, it is not safe to take Apriglim-M 2 Tablet PR along with alcohol, as it may lower your blood sugar levels and lead to hypoglycemia. It can also increase the chances of lactic acidosis.'}",,,,,,,,
