0,breastfeeding_0,breastfeeding_1
,breastfeeding,Information regarding the use of Andre I-Kul Eye Drop during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Atonide Gel is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Afogatran 150 Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Actapro Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Arip MT 5 Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Acemiz -MR Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amphotin Lip 50mg Injection is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Afoglip M  1000 Tablet ER during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Acnicort Gel is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Apriglim-M 2 Tablet PR is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azilin 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Aztel Trio 40mg/5mg/12.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Alcinac Spas 80mg/100mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Abiratas 500mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,"Aldecef 200mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Aldecef 200mg Tablet, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Information regarding the use of Arophyll-M Tablet SR during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Alertac-A Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,"Allerhin D Plus 120mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Because of low milk levels and lack of sleepiness, use of Allerhin D Plus 120mg Tablet would not be expected to cause any adverse effects in breastfed babies."
,breastfeeding,Afdiloc 300mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,AVN Plus Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of AVN Plus Tablet may cause sleepiness and other effects in the baby
,breastfeeding,Aziwok 500mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Information regarding the use of Axonrich Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Aziron 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Averm Plus 12mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Arrestin  P 100mg/500mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amchek-Z Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Aclofen S Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Arch L Forte Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,,
,breastfeeding,Information regarding the use of Anthro 100 mg/500 mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amvalor Chrono 300 Tablet CR is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Aceflam 100mg/500mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Arodyl Syrup is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of Arodyl Syrup may cause sleepiness and other effects in the baby
,breastfeeding,Arpan 40mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azutan CT 40/12.5 Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,AL 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or more prolonged use of AL 5mg Tablet may cause drowsiness and other effects in the baby or decrease the milk supply
,breastfeeding,Adequet SR 100 Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Acronil-OD 400 Tablet ER during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Acsolve H Gel is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Information regarding the use of Acetal SP 100 mg/500 mg/15 mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Azix 250mg Tablet DT is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Autocort 6mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Acitec D 10mg/20mg Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Aaram Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Axid O Suspension during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Atorvacare F 10mg/160mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Aquatel CH 40mg/12.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Algic MR 100mg/4mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Acetol 200mg Tablet CR is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Almid Plus Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Acepep SP Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Aceros 100mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Altacef 750mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Altacef 750mg Injection, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Alpan D 10mg/40mg Tablet should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Aldo 10 Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Alpenta 40mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Avipanta 40mg Injection is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Atorstin CV 20mg/75mg Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Aptacid Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Acelopat SP 100mg/325mg/15mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Asmotone SP Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Acosha 100mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amlomet 5mg/50mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,"Addicef 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Addicef 500mg Tablet, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Anspas Forte 500mg/450mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Actibile 600 SR Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Anastrocare 1mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Altrip 10mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Amlong 7.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Altodin 10mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Augustin Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Alzolid 600mg Infusion is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Advark-SP Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Alprop 0.25 mg/20 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Azopar SP 100mg/325mg/10mg Tablet during breastfeeding is not available. Please consult your doctor.
,,
,breastfeeding,Avilan 40mg Tablet SR is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Acroflu 150mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Ab Penem 200mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Arti Nate 50mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Aziden 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,,
,breastfeeding,Information regarding the use of Acogesic-P 100mg/325mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amgrace 200mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
