0,liver_0,liver_1
,liver,No interaction found/established
,liver,No interaction found/established
,liver,Afogatran 150 Capsule should be used with caution in patients with liver disease. Dose adjustment of Afogatran 150 Capsule may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Actapro Tablet in patients with liver disease. Please consult your doctor.
,liver,Arip MT 5 Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Arip MT 5 Tablet may not be needed in these patients. Please consult your  doctor.
,liver,There is limited information available on the use of Acemiz -MR Tablet in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Amphotin Lip 50mg Injection in patients with liver disease. Please consult your doctor.
,liver,Afoglip M  1000 Tablet ER should be used with caution in patients with liver disease. Dose adjustment of Afoglip M  1000 Tablet ER may be needed. Please consult your doctor.<BR>Afoglip M  1000 Tablet ER is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,No interaction found/established
,liver,Apriglim-M 2 Tablet PR should be used with caution in patients with liver disease. Dose adjustment of Apriglim-M 2 Tablet PR may be needed. Please consult your doctor.<BR>Apriglim-M 2 Tablet PR is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,Azilin 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azilin 500mg Tablet may be needed. Please consult your doctor.
,liver,Aztel Trio 40mg/5mg/12.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aztel Trio 40mg/5mg/12.5mg Tablet may be needed. Please consult your doctor.<BR>Use of Aztel Trio 40mg/5mg/12.5mg Tablet is not recommended in patients with severe liver disease.
,liver,Alcinac Spas 80mg/100mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Alcinac Spas 80mg/100mg Tablet may be needed. Please consult your doctor.<BR>Use of Alcinac Spas 80mg/100mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Abiratas 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Abiratas 500mg Tablet may be needed. Please consult your doctor.
,liver,Aldecef 200mg Tablet is safe to use in patients with liver disease. No dose adjustment of Aldecef 200mg Tablet is recommended.
,liver,Arophyll-M Tablet SR should be used with caution in patients with liver disease. Dose adjustment of Arophyll-M Tablet SR may be needed. Please consult your doctor.
,liver,Alertac-A Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Alertac-A Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Allerhin D Plus 120mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Allerhin D Plus 120mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Afdiloc 300mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Afdiloc 300mg Tablet may be needed. Please consult your doctor.
,liver,AVN Plus Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of AVN Plus Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Aziwok 500mg Injection should be used with caution in patients with liver disease. Dose adjustment of Aziwok 500mg Injection may be needed. Please consult your doctor.
