pregnancy_0,pregnancy_1
pregnancy,Information regarding the use of Andre I-Kul Eye Drop during pregnancy is not available. Please consult your doctor.
pregnancy,"Atonide Gel may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby. Your doctor will weigh the benefits and any potential risks before prescribing it to you. Please consult your doctor."
pregnancy,"Afogatran 150 Capsule may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby. Your doctor will weigh the benefits and any potential risks before prescribing it to you. Please consult your doctor."
pregnancy,Information regarding the use of Actapro Tablet during pregnancy is not available. Please consult your doctor.
pregnancy,"Arip MT 5 Tablet may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby. Your doctor will weigh the benefits and any potential risks before prescribing it to you. Please consult your doctor."
pregnancy,Information regarding the use of Acemiz -MR Tablet during pregnancy is not available. Please consult your doctor.
pregnancy,"Amphotin Lip 50mg Injection is generally considered safe to use during pregnancy. Animal studies have shown low or no adverse effects to the developing baby; however, there are limited human studies. "
pregnancy,Information regarding the use of Afoglip M  1000 Tablet ER during pregnancy is not available. Please consult your doctor.
pregnancy,Information regarding the use of Acnicort Gel during pregnancy is not available. Please consult your doctor.
pregnancy,"Apriglim-M 2 Tablet PR may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby. Your doctor will weigh the benefits and any potential risks before prescribing it to you. Please consult your doctor."
pregnancy,"Azilin 500mg Tablet is generally considered safe to use during pregnancy. Animal studies have shown low or no adverse effects to the developing baby; however, there are limited human studies. "
pregnancy,"Aztel Trio 40mg/5mg/12.5mg Tablet is unsafe to use during pregnancy as there is definite evidence of risk to the developing baby. However, the doctor may rarely prescribe it in some life-threatening situations if the benefits are more than the potential risks. Please consult your doctor. "
pregnancy,"Alcinac Spas 80mg/100mg Tablet may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby. Your doctor will weigh the benefits and any potential risks before prescribing it to you. Please consult your doctor."
pregnancy,Abiratas 500mg Tablet is highly unsafe to use during pregnancy. Seek your doctor's advice as studies on pregnant women and animals have shown significant harmful effects to the developing baby.
pregnancy,"Aldecef 200mg Tablet is generally considered safe to use during pregnancy. Animal studies have shown low or no adverse effects to the developing baby; however, there are limited human studies. "
pregnancy,Information regarding the use of Arophyll-M Tablet SR during pregnancy is not available. Please consult your doctor.
